Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Goal,Assist,Goals Per Game,Headed Goals,Goals With Right Foot,Goals With Left Foot,Penalty Goals,Free Kick Goals,Shots,Shots On Target,Shooting Accuracy Rate,Hit Woodwork,Big Chance Missed,Total Passes,Total Passes Per Game,Big Chance Created,Crosses,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Blocked shots,Interceptions,Clearances,Headed Clearance
Tammy Abraham,England,02/10/1997,190,34,19,10,15,3,0.44,3,12,0,0,0,88,40,45%,3,22,407,11.97,3,11,2,0,17,23,8,14,6,27,23
Che Adams,England,13/07/1996,175,30,13,12,4,2,0.13,0,4,0,0,0,36,10,28%,1,8,248,8.27,5,13,0,0,17,10,6,14,2,9,3
Sergio Agüero,Argentina,02/06/1988,173,24,16,6,16,3,0.67,2,12,2,2,0,76,28,37%,5,12,354,14.75,4,9,1,0,9,6,7,22,3,2,0
Albian Ajeti,Switzerland,26/02/1997,183,9,0,7,0,0,0.0,0,0,0,0,0,3,0,0%,0,0,15,1.67,0,0,0,0,6,2,1,2,0,0,0
Steven Alzate,Colombia,08/09/1998,180,19,5,8,0,0,0.0,0,0,0,0,0,13,3,23%,0,1,603,31.74,0,8,1,0,17,3,33,6,14,11,9
Florin Andone,Romania,11/04/1993,180,3,1,1,1,0,0.33,0,1,0,0,0,1,1,100%,0,0,12,4.0,0,0,0,1,2,0,1,0,0,1,1
Pierre-Emerick Aubameyang,Gabon,18/06/1989,187,36,14,10,22,3,0.61,3,16,3,2,1,93,42,45%,4,10,817,22.69,7,89,3,1,14,20,31,23,14,13,4
Jordan Ayew,Ghana,11/09/1991,182,37,11,16,9,2,0.24,1,7,1,0,0,58,24,41%,1,5,814,22.0,4,25,6,0,59,9,48,14,15,20,15
Ashley Barnes,England,30/10/1989,186,19,7,9,6,0,0.32,0,6,0,1,0,40,12,30%,0,7,251,13.21,0,5,4,0,35,13,10,8,6,8,4
Michy Batshuayi,Belgium,02/10/1993,184,16,7,6,1,1,0.06,0,0,1,0,0,15,2,13%,0,4,78,4.88,0,0,0,0,4,7,4,4,0,1,1
Christian Benteke,Belgium,03/12/1990,190,24,8,11,2,1,0.08,0,2,0,0,0,41,19,46%,3,3,337,14.04,4,5,4,1,25,12,9,7,4,28,20
Steven Bergwijn,Netherlands,08/10/1997,178,14,7,3,3,1,0.21,0,3,0,0,0,9,4,44%,0,0,244,17.43,1,10,2,0,7,0,10,3,1,5,1
Bernard,Brazil,08/09/1992,166,27,9,10,3,2,0.11,0,3,0,0,0,12,5,42%,1,1,540,20.0,3,36,2,0,19,0,32,5,16,7,2
Borja Bastón,Spain,25/08/1992,186,2,0,2,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,6,3.0,0,0,0,0,0,0,1,0,0,0,0
Jarrod Bowen,England,20/12/1996,175,13,4,6,1,4,0.08,0,0,1,0,0,24,7,29%,2,2,213,16.38,4,60,0,0,4,1,19,10,16,4,1
Armando Broja,Albania,10/09/2001,191,1,1,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0
Dominic Calvert-Lewin,England,16/03/1997,187,36,12,14,13,1,0.36,4,6,3,0,0,85,38,45%,2,17,553,15.36,1,19,9,0,57,13,7,15,6,36,33
Chicharito,Mexico,01/06/1988,175,2,0,1,1,0,0.5,0,1,0,0,0,3,2,67%,0,1,20,10.0,0,0,0,0,0,2,0,0,1,0,0
Tahith Chong,Netherlands,04/12/1999,185,3,2,1,0,0,0.0,0,0,0,0,0,1,0,0%,0,0,14,4.67,0,0,0,0,2,0,0,0,0,0,0
Aaron Connolly,Ireland,28/01/2000,175,24,7,11,3,1,0.13,0,3,0,0,0,38,14,37%,0,5,146,6.08,1,9,0,0,16,14,7,13,0,3,2
Patrick Cutrone,Italy,03/01/1998,183,12,5,2,2,0,0.17,0,1,1,0,0,11,4,36%,0,2,59,4.92,1,6,0,0,5,4,4,3,2,1,1
Arnaut Danjuma Groeneveld,Netherlands,31/01/1997,178,14,1,10,0,0,0.0,0,0,0,0,0,13,4,31%,1,2,221,15.79,0,9,0,0,0,6,4,2,8,3,1
Troy Deeney,England,29/06/1988,183,27,7,15,10,2,0.37,1,7,2,5,0,45,23,51%,0,9,709,26.26,8,10,3,0,37,12,19,13,11,26,17
Gerard Deulofeu,Spain,13/03/1994,177,28,6,13,4,5,0.14,0,3,1,1,0,64,21,33%,5,5,721,25.75,5,96,3,0,27,18,33,21,25,5,0
Diogo Jota,Portugal,04/12/1996,178,34,12,9,7,1,0.21,0,4,3,0,0,69,26,38%,1,12,840,24.71,3,38,4,0,42,3,28,23,9,9,5
Josip Drmic,Switzerland,08/08/1992,183,21,3,18,1,0,0.05,0,1,0,0,0,14,6,43%,2,3,160,7.62,1,3,0,1,6,7,3,3,1,5,3
Gabriel Jesus,Brazil,03/04/1997,175,34,23,8,14,7,0.41,2,7,5,0,0,101,48,48%,3,24,609,17.91,4,6,3,0,27,19,17,20,11,6,6
Dwight Gayle,England,17/10/1989,174,20,3,10,4,2,0.2,0,3,1,0,0,23,10,43%,1,5,145,7.25,2,3,2,0,6,2,12,5,2,9,8
Olivier Giroud,France,30/09/1986,192,18,10,6,8,0,0.44,1,2,5,0,0,39,19,49%,1,6,299,16.61,1,2,1,0,17,9,8,4,2,13,12
Mason Greenwood,England,01/10/2001,181,31,13,7,10,1,0.32,0,2,8,0,0,39,20,51%,1,2,495,15.97,1,10,0,0,12,3,17,7,6,5,2
Sébastien Haller,Cote D'Ivoire,22/06/1994,190,32,9,16,7,1,0.22,0,5,2,0,0,56,27,48%,0,6,767,23.97,2,8,1,0,46,18,22,10,8,26,22
George Hirst,England,15/02/1999,191,2,0,2,0,0,0.0,0,0,0,0,0,3,1,33%,0,0,5,2.5,0,0,0,0,0,0,0,0,0,0,0
Callum Hudson-Odoi,England,07/11/2000,182,22,12,7,1,5,0.05,0,1,0,0,0,21,4,19%,1,1,412,18.73,6,63,1,0,11,3,10,11,5,4,2
Adam Idah,Ireland,11/02/2001,190,12,0,11,0,0,0.0,0,0,0,0,0,6,2,33%,1,1,48,4.0,0,0,0,0,2,1,2,1,0,1,1
Odion Ighalo,Nigeria,16/06/1989,181,11,8,0,0,0,0.0,0,0,0,0,0,7,4,57%,1,4,25,2.27,0,0,0,0,1,1,2,1,0,0,0
Kelechi Iheanacho,Nigeria,03/10/1996,185,20,7,8,5,3,0.25,2,2,1,0,0,36,20,56%,0,5,267,13.35,3,2,1,0,24,9,3,7,3,7,6
Danny Ings,England,23/07/1992,178,38,15,16,22,2,0.58,0,13,8,1,0,93,38,41%,6,8,643,16.92,2,29,3,0,36,12,42,27,9,24,16
Isaac Success,Nigeria,07/01/1996,186,5,1,3,0,0,0.0,0,0,0,0,0,1,1,100%,0,0,17,3.4,0,2,1,0,2,0,0,0,1,0,0
Alex Iwobi,Nigeria,03/05/1996,180,25,7,12,1,0,0.04,1,0,0,0,0,23,10,43%,2,3,557,22.28,2,48,0,0,12,0,25,5,14,10,5
Alireza Jahanbakhsh,Iran,11/08/1993,180,10,2,4,2,0,0.2,0,2,0,0,0,12,2,17%,0,0,112,11.2,2,24,0,0,2,1,8,4,3,1,0
João Pedro,Brazil,26/09/2001,182,3,0,3,0,0,0.0,0,0,0,0,0,1,0,0%,0,0,9,3.0,0,3,0,0,1,0,0,0,0,0,0
Joelinton,Brazil,14/08/1996,186,38,11,16,2,2,0.05,0,1,1,0,0,50,15,30%,1,8,820,21.58,3,6,7,0,32,20,34,12,11,30,19
Moise Kean,Italy,28/02/2000,183,29,7,13,2,2,0.07,0,2,0,0,0,30,13,43%,0,4,125,4.31,5,12,1,0,27,4,6,5,5,1,1
Joshua King,Norway,15/01/1992,180,26,6,13,6,4,0.23,0,6,0,3,0,26,13,50%,0,3,499,19.19,8,22,0,0,37,7,16,4,8,8,3
Jonathan Kodjia,Cote D'Ivoire,22/10/1989,191,6,1,5,0,0,0.0,0,0,0,0,0,2,0,0%,0,0,27,4.5,0,0,1,0,1,0,0,1,0,1,1
Alexandre Lacazette,France,28/05/1991,175,30,9,9,10,4,0.33,1,8,1,0,0,52,26,50%,1,5,505,16.83,4,15,8,0,44,13,31,8,7,14,10
Jürgen Locadia,Netherlands,07/11/1993,187,2,1,1,0,0,0.0,0,0,0,0,0,2,1,50%,1,1,19,9.5,0,1,0,0,0,0,0,0,0,0,0
Lucas Moura,Brazil,13/08/1992,172,35,15,11,4,4,0.11,1,2,1,0,0,56,14,25%,0,6,773,22.09,6,21,3,0,30,5,57,21,15,25,18
Riyad Mahrez,Algeria,21/02/1991,179,33,22,8,11,9,0.33,0,3,8,1,2,74,32,43%,1,5,1097,33.24,18,88,0,0,13,13,28,23,18,7,1
Sadio Mané,Senegal,10/04/1992,175,35,29,3,18,7,0.51,2,11,5,0,0,77,36,47%,2,18,1104,31.54,10,49,3,0,46,14,44,11,13,7,3
Anthony Martial,France,05/12/1995,181,32,16,6,17,6,0.53,2,12,3,0,0,80,40,50%,2,10,712,22.25,8,11,1,0,28,12,15,21,5,15,10
Josh Martin,England,09/09/2001,176,5,0,5,0,0,0.0,0,0,0,0,0,1,1,100%,0,0,15,3.0,0,0,0,0,1,0,1,0,1,0,0
Neal Maupay,France,14/08/1996,173,37,9,15,10,3,0.27,3,2,5,1,0,96,38,40%,1,10,668,18.05,3,12,3,0,38,15,20,31,4,8,3
Oliver McBurnie,Scotland,04/06/1996,188,36,14,12,6,0,0.17,2,4,0,0,0,50,25,50%,0,10,617,17.14,2,9,4,0,28,5,37,7,15,40,35
David McGoldrick,Ireland,29/11/1987,183,28,10,8,2,2,0.07,0,1,1,0,0,46,20,43%,0,15,610,21.79,4,8,2,0,30,12,41,8,3,23,17
Takumi Minamino,Japan,16/01/1995,174,10,6,3,0,0,0.0,0,0,0,0,0,8,2,25%,0,1,106,10.6,0,2,0,0,7,0,3,3,0,3,0
Mohamed Salah,Egypt,15/06/1992,175,34,30,3,19,10,0.56,2,2,15,3,0,132,59,45%,5,15,979,28.79,13,45,1,0,17,20,16,37,8,2,1
Lys Mousset,France,08/02/1996,184,30,12,8,6,4,0.2,0,4,2,0,0,37,9,24%,1,6,240,8.0,7,4,1,0,24,16,9,14,4,2,1
Glenn Murray,England,25/09/1983,183,23,5,8,1,1,0.04,0,1,0,0,0,18,5,28%,0,4,167,7.26,2,4,0,0,15,10,5,3,1,11,6
Yoshinori Muto,Japan,15/07/1992,178,8,1,6,0,0,0.0,0,0,0,0,0,1,0,0%,0,0,32,4.0,0,1,0,0,2,3,3,0,0,0,0
Reiss Nelson,England,10/12/1999,175,17,8,4,1,0,0.06,0,1,0,0,0,11,4,36%,0,0,207,12.18,0,24,1,0,8,4,11,5,3,2,0
Oumar Niasse,Senegal,18/04/1990,182,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,3,1.0,0,1,0,0,2,0,4,0,1,0,0
Eddie Nketiah,England,30/05/1999,175,13,7,3,2,0,0.15,0,1,1,0,0,15,5,33%,4,3,140,10.77,1,1,0,1,16,3,7,2,2,5,2
Michael Obafemi,Ireland,06/07/2000,169,21,9,9,3,2,0.14,0,2,1,0,0,12,5,42%,0,0,137,6.52,2,2,1,0,11,3,7,5,6,0,0
Divock Origi,Belgium,18/04/1995,185,28,23,3,4,1,0.14,1,2,1,0,0,14,6,43%,0,0,196,7.0,1,18,1,0,12,0,12,4,4,5,2
Troy Parrott,Ireland,04/02/2002,185,2,1,1,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,4,2.0,0,0,0,0,0,0,0,0,0,0,0
Pedro,Spain,28/07/1987,169,11,4,4,1,1,0.09,0,1,0,0,0,22,10,45%,0,1,315,28.64,1,20,1,0,8,0,15,8,9,1,0
Pedro Neto,Portugal,09/03/2000,172,29,13,6,3,3,0.1,0,1,2,0,0,17,6,35%,0,3,349,12.03,5,48,3,0,14,4,9,5,6,3,0
Nicolas Pépé,Cote D'Ivoire,29/05/1995,183,31,13,9,5,6,0.16,0,0,5,1,0,50,18,36%,3,2,706,22.77,8,109,4,0,14,4,32,13,8,4,2
Ayoze Pérez,Spain,29/07/1993,178,33,15,12,8,4,0.24,0,7,1,1,0,47,22,47%,1,3,734,22.24,6,27,0,0,30,6,45,11,14,8,4
Brandon Pierrick,England,10/12/2001,171,2,0,1,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,7,3.5,0,2,0,0,0,0,0,0,0,1,1
Teemu Pukki,Finland,29/03/1990,180,36,5,25,11,3,0.31,0,9,2,2,0,80,35,44%,1,11,529,14.69,4,8,3,0,23,17,12,24,6,6,2
Marcus Rashford,England,31/10/1997,180,31,15,6,17,7,0.55,1,13,3,6,0,95,44,46%,6,13,941,30.35,9,33,3,0,21,13,13,18,10,16,9
Richarlison,Brazil,10/05/1997,184,36,13,15,13,3,0.36,4,3,5,0,0,90,32,36%,3,5,788,21.89,13,56,8,0,43,17,70,24,12,40,29
Roberto Firmino,Brazil,02/10/1991,181,38,32,3,9,8,0.24,3,3,3,0,0,99,39,39%,4,20,1161,30.55,10,9,0,0,29,6,37,29,7,11,9
Callum Robinson,Ireland,02/02/1995,178,16,3,5,1,1,0.06,0,1,0,0,0,12,4,33%,0,1,138,8.63,1,15,1,0,11,1,6,3,7,3,3
Jay Rodriguez,England,29/07/1989,185,36,14,13,8,1,0.22,3,3,1,1,0,67,30,45%,2,11,464,12.89,1,15,1,0,26,22,29,12,5,11,6
Allan Saint-Maximin,France,12/03/1997,173,26,10,8,3,4,0.12,1,2,0,0,0,46,21,46%,2,4,431,16.58,8,45,0,0,18,3,13,14,9,4,1
Mbwana Samatta,Tanzania,23/12/1992,183,14,2,8,1,0,0.07,1,0,0,0,0,17,3,18%,0,3,172,12.29,1,3,1,0,9,8,6,5,1,6,2
Leroy Sané,Germany,11/01/1996,184,1,1,0,0,0,0.0,0,0,0,0,0,2,0,0%,0,0,7,7.0,0,0,0,0,0,0,0,1,0,0,0
Ismaila Sarr,Senegal,25/02/1998,185,28,7,15,5,4,0.18,0,5,0,0,0,44,13,30%,0,6,492,17.57,9,99,1,0,22,13,11,14,18,6,3
Billy Sharp,England,05/02/1986,175,25,7,10,3,2,0.12,1,1,1,0,0,16,7,44%,1,5,212,8.48,5,11,1,1,20,11,6,3,1,2,2
Dominic Solanke,England,14/09/1997,187,32,7,21,3,1,0.09,1,2,0,0,0,32,8,25%,2,6,431,13.47,1,6,1,0,15,4,8,14,8,16,10
Son Heung-Min,South Korea,08/07/1992,183,30,14,8,11,10,0.37,1,6,4,0,0,81,38,47%,3,6,797,26.57,12,77,0,1,17,17,23,19,19,17,10
Dennis Srbeny,Germany,05/05/1994,189,8,2,5,1,0,0.13,0,0,1,0,0,2,1,50%,0,0,18,2.25,0,0,0,0,1,0,5,0,0,1,1
Sam Surridge,England,28/07/1998,191,4,1,3,0,0,0.0,0,0,0,0,0,2,0,0%,0,1,9,2.25,0,1,0,0,2,0,0,0,1,0,0
Cenk Tosun,Turkey,07/06/1991,183,10,3,3,2,0,0.2,2,0,0,0,0,15,5,33%,0,1,98,9.8,1,4,0,0,8,2,4,3,0,2,2
Adama Traoré,Spain,25/01/1996,178,37,15,9,4,9,0.11,0,4,0,0,0,43,12,28%,2,4,713,19.27,10,183,1,0,39,6,33,15,13,13,8
Leandro Trossard,Belgium,04/12/1994,172,31,6,13,5,3,0.16,0,3,2,0,0,41,12,29%,2,8,710,22.9,5,75,0,0,14,4,22,8,9,6,2
Jamie Vardy,England,11/01/1987,179,35,16,11,23,5,0.66,3,11,9,4,0,89,43,48%,4,18,442,12.63,12,31,2,0,20,28,15,18,2,22,17
Indiana Vassilev,United States,16/02/2001,173,4,1,2,0,0,0.0,0,0,0,0,0,1,0,0%,0,0,11,2.75,0,0,0,0,0,2,0,0,0,0,0
Theo Walcott,England,16/03/1989,176,25,10,10,2,3,0.08,1,1,0,0,0,31,10,32%,1,5,354,14.16,7,42,1,0,9,10,13,12,8,1,0
Danny Welbeck,England,26/11/1990,185,18,2,12,2,0,0.11,0,1,1,0,0,22,9,41%,0,5,165,9.17,0,1,0,0,9,2,14,4,5,5,4
Wesley,Brazil,26/11/1996,191,21,6,12,5,1,0.24,0,5,0,0,0,35,18,51%,1,5,367,17.48,1,7,3,0,43,14,15,8,4,23,18
Connor Wickham,England,31/03/1993,191,6,1,2,1,1,0.17,0,1,0,0,0,3,2,67%,0,1,46,7.67,1,0,0,0,4,1,1,0,1,0,0
Willian,Brazil,09/08/1988,175,36,19,11,9,7,0.25,0,9,0,4,1,71,29,41%,1,4,1436,39.89,12,174,4,0,17,4,45,23,20,7,3
Callum Wilson,England,27/02/1992,180,35,8,20,8,1,0.23,1,5,2,0,0,55,21,38%,0,10,510,14.57,4,27,10,0,55,32,12,10,4,16,12
Chris Wood,New Zealand,07/12/1991,191,32,12,11,14,1,0.44,5,4,5,1,0,65,31,48%,0,20,460,14.38,1,8,1,0,34,35,7,8,4,18,14
Andriy Yarmolenko,Ukraine,23/10/1989,189,23,8,8,5,1,0.22,0,0,5,0,0,26,13,50%,1,2,403,17.52,6,20,2,0,16,8,13,4,6,4,3
Wilfried Zaha,Cote D'Ivoire,10/11/1992,180,38,11,17,4,3,0.11,0,2,2,0,0,61,17,28%,1,5,1094,28.79,4,68,5,0,48,16,43,22,18,2,2
Richairo Zivkovic,Netherlands,05/09/1996,187,5,1,4,0,0,0.0,0,0,0,0,0,1,0,0%,0,0,18,3.6,0,1,0,0,1,0,2,1,0,0,0
