Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Goal,Assist,Goals Per Game,Headed Goals,Goals With Right Foot,Goals With Left Foot,Penalty Goals,Free Kick Goals,Shots,Shots On Target,Shooting Accuracy Rate,Hit Woodwork,Big Chance Missed,Total Passes,Total Passes Per Game,Big Chance Created,Crosses,Cross Accuracy Rate,Through Balls,Accurate Long Balls,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Tackle Success Rate,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerial Battles Won,Aerial Battles Lost,Errors Leading To Goal
Marc Albrighton,England,18/11/1989,175,20,8,7,0,3,0.0,0,0,0,0.0,0.0,10.0,2.0,20%,1,0.0,407,20.35,5,69,16%,3.0,23.0,2,0,7,1,24,71%,3,10,7,4,67.0,52.0,63.0,14.0,3.0,7.0,0.0
Dele Alli,England,11/04/1996,188,25,9,8,8,4,0.32,0,6,2,1.0,0.0,42.0,19.0,45%,0,7.0,810,32.4,6,7,0%,4.0,17.0,2,0,12,6,34,47%,7,17,14,8,103.0,115.0,150.0,29.0,19.0,40.0,0.0
Miguel Almirón,Paraguay,10/02/1994,174,36,11,14,4,2,0.11,0,2,2,0.0,0.0,56.0,17.0,30%,1,9.0,829,23.03,3,41,17%,2.0,20.0,5,0,30,24,60,65%,19,31,16,7,189.0,174.0,170.0,46.0,10.0,28.0,0.0
Ibrahim Amadou,France,06/04/1993,183,11,2,7,0,0,0.0,0,0,0,0.0,0.0,6.0,1.0,17%,0,1.0,369,33.55,0,1,100%,0.0,15.0,1,0,8,0,18,61%,0,16,55,31,39.0,38.0,31.0,2.0,16.0,13.0,0.0
André Gomes,Portugal,30/07/1993,188,19,6,7,0,1,0.0,0,0,0,0.0,0.0,5.0,0.0,0%,0,0.0,851,44.79,1,12,25%,3.0,85.0,6,0,38,0,22,68%,0,7,6,4,122.0,83.0,137.0,25.0,17.0,12.0,0.0
Andreas Pereira,Brazil,01/01/1996,178,25,12,6,1,3,0.04,0,0,1,0.0,0.0,37.0,14.0,38%,0,1.0,703,28.12,6,65,15%,2.0,30.0,3,0,27,3,24,54%,9,7,5,1,85.0,70.0,142.0,20.0,10.0,34.0,0.0
Angel Gomes,England,31/08/2000,161,2,1,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0%,0,0.0,13,6.5,0,0,0%,1.0,2.0,0,0,1,0,0,0%,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Faustino Anjorin,England,23/11/2001,185,1,1,0,0,0,0.0,0,0,0,0.0,0.0,1.0,0.0,0%,0,0.0,7,7.0,0,0,0%,0.0,0.0,0,0,0,0,0,0%,0,0,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
Michail Antonio,England,28/03/1990,180,24,7,12,10,3,0.42,2,7,1,1.0,0.0,68.0,31.0,46%,2,14.0,446,18.58,7,48,21%,5.0,9.0,3,0,41,11,13,69%,14,9,5,5,62.0,201.0,233.0,65.0,91.0,109.0,0.0
Stuart Armstrong,Scotland,30/03/1992,183,30,13,11,5,3,0.17,0,3,2,0.0,0.0,46.0,20.0,43%,0,1.0,579,19.3,2,23,22%,2.0,12.0,4,0,25,4,32,59%,11,11,22,9,106.0,95.0,131.0,30.0,14.0,30.0,0.0
Christian Atsu,Ghana,10/01/1992,165,19,5,8,0,3,0.0,0,0,0,0.0,0.0,5.0,1.0,20%,0,0.0,198,10.42,2,17,41%,1.0,5.0,2,0,11,4,10,80%,1,5,6,4,42.0,42.0,71.0,16.0,7.0,14.0,0.0
Nabil Bentaleb,Algeria,24/11/1994,187,12,2,6,0,0,0.0,0,0,0,0.0,0.0,4.0,0.0,0%,0,0.0,406,33.83,0,2,0%,0.0,25.0,2,0,19,0,23,57%,2,19,9,5,46.0,50.0,54.0,8.0,14.0,13.0,1.0
Sander Berge,Norway,14/02/1998,195,14,6,5,1,1,0.07,0,1,0,0.0,0.0,5.0,2.0,40%,0,1.0,368,26.29,1,22,9%,0.0,13.0,0,0,18,1,22,68%,1,10,13,8,56.0,77.0,50.0,15.0,35.0,16.0,0.0
Bernardo Silva,Portugal,10/08/1994,173,34,22,9,6,7,0.18,1,0,5,0.0,0.0,52.0,15.0,29%,2,6.0,1374,40.41,8,72,24%,1.0,39.0,5,0,23,2,36,50%,23,24,12,6,129.0,110.0,112.0,40.0,14.0,24.0,0.0
Muhamed Besic,Bosnia And Herzegovina,10/09/1992,180,9,4,3,0,0,0.0,0,0,0,0.0,0.0,4.0,2.0,50%,0,0.0,106,11.78,0,1,0%,0.0,6.0,2,0,6,0,8,75%,0,1,6,4,17.0,22.0,14.0,7.0,5.0,3.0,0.0
Philip Billing,Denmark,11/06/1996,193,34,9,19,1,1,0.03,0,0,1,0.0,0.0,33.0,8.0,24%,0,2.0,1154,33.94,2,14,7%,1.0,43.0,8,0,38,2,72,64%,6,66,94,55,162.0,228.0,202.0,22.0,111.0,78.0,1.0
Yves Bissouma,Mali,30/08/1996,182,22,5,9,1,0,0.05,0,1,0,0.0,0.0,16.0,7.0,44%,1,0.0,619,28.14,0,6,17%,3.0,35.0,4,0,31,0,49,78%,2,21,21,9,105.0,112.0,108.0,32.0,17.0,16.0,0.0
Sofiane Boufal,Morocco,17/09/1993,170,20,5,11,0,2,0.0,0,0,0,0.0,0.0,18.0,7.0,39%,0,1.0,288,14.4,4,27,11%,1.0,6.0,2,0,25,2,16,50%,6,4,0,0,45.0,96.0,116.0,53.0,7.0,11.0,0.0
Ross Barkley,England,05/12/1993,189,21,13,4,1,4,0.05,0,0,1,0.0,0.0,40.0,12.0,30%,1,3.0,618,29.43,2,12,17%,6.0,39.0,0,0,9,0,16,56%,16,7,7,3,69.0,70.0,80.0,27.0,12.0,13.0,0.0
Todd Cantwell,England,27/02/1998,177,37,5,26,6,2,0.16,0,5,1,0.0,0.0,42.0,16.0,38%,0,3.0,1065,28.78,1,24,4%,3.0,30.0,6,0,33,3,51,61%,13,18,28,6,148.0,182.0,194.0,49.0,20.0,39.0,1.0
Etienne Capoue,France,11/07/1988,189,30,8,16,0,3,0.0,0,0,0,0.0,0.0,19.0,1.0,5%,0,0.0,1434,47.8,4,23,39%,3.0,112.0,8,0,57,0,75,53%,6,68,56,31,219.0,186.0,165.0,23.0,49.0,19.0,0.0
Dani Ceballos,Spain,07/08/1996,179,24,12,6,0,2,0.0,0,0,0,0.0,0.0,13.0,3.0,23%,0,0.0,1251,52.13,1,70,13%,6.0,76.0,1,0,19,0,45,51%,5,32,11,6,153.0,116.0,125.0,27.0,9.0,25.0,0.0
Hamza Choudhury,England,01/10/1997,178,20,9,6,1,1,0.05,0,1,0,0.0,0.0,7.0,2.0,29%,0,0.0,496,24.8,0,4,0%,0.0,19.0,2,1,12,0,17,47%,3,24,12,5,51.0,39.0,54.0,3.0,12.0,10.0,0.0
Robbie Brady,Ireland,14/01/1992,176,17,5,10,1,2,0.06,0,0,1,0.0,0.0,12.0,1.0,8%,1,0.0,151,8.88,1,14,7%,2.0,4.0,1,0,8,1,11,82%,5,5,7,4,36.0,33.0,38.0,6.0,12.0,9.0,0.0
David Brooks,Wales,08/07/1997,173,9,2,6,1,0,0.11,0,0,1,0.0,0.0,6.0,2.0,33%,1,0.0,153,17.0,0,24,25%,0.0,4.0,1,0,4,0,5,100%,3,2,1,1,13.0,23.0,42.0,12.0,0.0,7.0,0.0
Josh Brownhill,England,19/12/1995,180,10,5,2,0,0,0.0,0,0,0,0.0,0.0,6.0,0.0,0%,0,1.0,331,33.1,0,2,0%,0.0,10.0,2,0,6,0,14,57%,2,14,17,8,43.0,48.0,36.0,7.0,20.0,18.0,0.0
Bruno Fernandes,Portugal,08/09/1994,179,14,9,0,8,7,0.57,0,8,0,4.0,1.0,44.0,18.0,41%,3,4.0,777,55.5,3,75,19%,8.0,46.0,2,0,9,2,22,55%,7,11,14,9,67.0,54.0,72.0,15.0,3.0,11.0,0.0
Bruno Jordão,Portugal,12/10/1998,180,1,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0%,0,0.0,6,6.0,0,0,0%,0.0,0.0,0,0,0,0,0,0%,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano Buendía,Argentina,25/12/1996,172,36,5,25,1,7,0.03,0,0,1,0.0,0.0,40.0,11.0,28%,0,1.0,1407,39.08,9,164,25%,17.0,90.0,6,1,36,2,82,48%,13,23,24,10,187.0,267.0,286.0,102.0,29.0,51.0,2.0
Víctor Camarasa,Spain,28/05/1994,183,1,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0%,0,0.0,3,3.0,0,0,0%,0.0,0.0,0,0,0,0,0,0%,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Cleverley,England,12/08/1989,175,18,2,10,1,0,0.06,0,1,0,0.0,0.0,17.0,5.0,29%,0,2.0,430,23.89,0,29,21%,0.0,16.0,2,0,16,0,28,54%,7,10,15,4,51.0,54.0,61.0,7.0,9.0,12.0,0.0
Jack Cork,England,25/06/1989,183,30,12,12,0,0,0.0,0,0,0,0.0,0.0,18.0,6.0,33%,0,1.0,923,30.77,2,6,17%,2.0,48.0,1,0,33,1,35,69%,8,28,45,24,171.0,140.0,195.0,26.0,56.0,69.0,0.0
Daniel Podence,Portugal,21/10/1995,165,9,4,1,1,0,0.11,1,0,0,0.0,0.0,10.0,3.0,30%,0,0.0,95,10.56,2,5,20%,1.0,3.0,0,0,5,3,3,100%,4,2,1,0,12.0,19.0,21.0,7.0,0.0,6.0,0.0
Keinan Davis,England,13/02/1998,191,18,3,9,0,0,0.0,0,0,0,0.0,0.0,17.0,5.0,29%,0,3.0,136,7.56,0,2,0%,0.0,2.0,0,0,12,3,1,100%,2,0,3,2,15.0,53.0,78.0,14.0,27.0,46.0,0.0
Kevin De Bruyne,Belgium,28/06/1991,181,35,25,7,13,20,0.37,0,11,2,2.0,1.0,99.0,31.0,31%,6,3.0,1907,54.49,33,304,25%,32.0,121.0,3,0,26,3,45,53%,29,18,23,14,136.0,138.0,153.0,48.0,17.0,17.0,0.0
Fabian Delph,England,21/11/1989,174,16,5,7,0,0,0.0,0,0,0,0.0,0.0,3.0,0.0,0%,0,0.0,781,48.81,0,8,63%,1.0,58.0,3,1,18,0,26,46%,3,15,16,9,94.0,69.0,51.0,21.0,15.0,9.0,1.0
Leander Dendoncker,Belgium,15/04/1995,188,38,15,9,4,0,0.11,1,2,1,0.0,0.0,20.0,5.0,25%,0,1.0,1323,34.82,1,8,38%,0.0,66.0,5,0,31,0,68,46%,5,38,61,42,152.0,187.0,167.0,16.0,96.0,84.0,1.0
Eric Dier,England,15/01/1994,188,19,11,4,0,2,0.0,0,0,0,0.0,0.0,8.0,1.0,13%,1,2.0,914,48.11,0,3,0%,3.0,47.0,5,0,19,1,21,57%,0,21,61,37,59.0,95.0,75.0,4.0,66.0,42.0,0.0
Moussa Djenepo,Mali,15/06/1998,177,18,7,9,2,2,0.11,0,2,0,0.0,0.0,20.0,8.0,40%,0,3.0,239,13.28,3,21,19%,1.0,5.0,4,1,23,3,27,78%,3,9,9,3,48.0,104.0,92.0,44.0,3.0,16.0,0.0
Domingos Quina,Portugal,18/11/1999,179,4,1,3,0,0,0.0,0,0,0,0.0,0.0,1.0,1.0,100%,0,0.0,10,2.5,0,0,0%,0.0,0.0,0,0,1,0,2,0%,0,0,0,0,4.0,4.0,6.0,1.0,0.0,2.0,0.0
Abdoulaye Doucouré,France,01/01/1993,184,37,8,20,4,2,0.11,0,4,0,0.0,0.0,61.0,12.0,20%,1,4.0,1678,45.35,6,29,17%,0.0,41.0,9,0,51,6,64,47%,20,31,31,11,270.0,174.0,206.0,40.0,55.0,57.0,0.0
Douglas Luiz,Brazil,09/05/1998,175,36,9,20,3,2,0.08,0,2,1,0.0,0.0,38.0,12.0,32%,0,2.0,1208,33.56,3,24,25%,4.0,92.0,8,0,51,0,46,52%,16,36,47,18,205.0,147.0,162.0,35.0,30.0,36.0,1.0
Tommy Doyle,England,17/10/2001,172,1,1,0,0,0,0.0,0,0,0,0.0,0.0,1.0,1.0,100%,0,0.0,20,20.0,0,0,0%,0.0,0.0,0,0,0,0,0,0%,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Danny Drinkwater,England,05/03/1990,178,5,1,3,0,0,0.0,0,0,0,0.0,0.0,2.0,0.0,0%,0,0.0,192,38.4,0,1,0%,0.0,10.0,1,0,8,0,7,57%,0,6,5,2,36.0,9.0,36.0,1.0,0.0,6.0,1.0
Ondrej Duda,Slovakia,05/12/1994,181,10,2,7,0,0,0.0,0,0,0,0.0,0.0,10.0,4.0,40%,1,0.0,338,33.8,2,43,30%,3.0,14.0,0,0,9,2,18,61%,5,6,7,5,48.0,42.0,42.0,6.0,6.0,18.0,0.0
Anwar El Ghazi,Netherlands,03/05/1995,188,34,7,19,4,4,0.12,0,4,0,1.0,0.0,52.0,20.0,38%,2,7.0,479,14.09,4,107,24%,1.0,15.0,3,0,20,12,20,55%,11,13,12,6,75.0,97.0,151.0,29.0,31.0,57.0,0.0
Harvey Elliott,England,04/04/2003,170,2,2,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0%,0,0.0,11,5.5,0,3,0%,0.0,1.0,0,0,0,0,0,0%,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Christian Eriksen,Denmark,14/02/1992,182,20,7,8,2,2,0.1,0,1,1,0.0,1.0,26.0,9.0,35%,0,0.0,674,33.7,3,72,15%,5.0,30.0,5,0,9,2,19,47%,11,12,14,5,82.0,31.0,52.0,0.0,6.0,10.0,0.0
Fabinho,Brazil,23/10/1993,188,28,22,3,2,3,0.07,0,2,0,0.0,0.0,12.0,4.0,33%,0,0.0,1578,56.36,2,9,44%,3.0,80.0,6,0,32,0,62,56%,4,34,16,6,157.0,132.0,110.0,9.0,42.0,28.0,0.0
Felipe Anderson,Brazil,15/04/1993,175,25,6,15,1,4,0.04,0,1,0,0.0,0.0,23.0,8.0,35%,1,3.0,895,35.8,4,34,26%,5.0,42.0,1,0,17,2,46,70%,8,22,10,5,112.0,139.0,130.0,63.0,6.0,19.0,0.0
Fernandinho,Brazil,04/05/1985,179,30,20,8,0,1,0.0,0,0,0,0.0,0.0,17.0,2.0,12%,1,0.0,2222,74.07,0,4,0%,0.0,133.0,7,2,26,1,50,70%,4,25,80,50,148.0,154.0,96.0,13.0,74.0,49.0,0.0
John Fleck,Scotland,24/08/1991,170,30,10,11,5,2,0.17,0,1,4,0.0,0.0,31.0,11.0,35%,0,2.0,999,33.3,5,149,22%,3.0,38.0,8,0,25,1,36,69%,12,24,21,7,169.0,115.0,122.0,44.0,14.0,25.0,0.0
Phil Foden,England,28/05/2000,171,23,20,2,5,2,0.22,0,1,4,0.0,0.0,34.0,15.0,44%,0,1.0,494,21.48,0,29,24%,4.0,17.0,0,0,12,1,14,71%,8,6,2,1,36.0,62.0,61.0,25.0,10.0,18.0,0.0
Pablo Fornals,Spain,22/02/1996,178,36,10,17,2,5,0.06,0,2,0,0.0,0.0,36.0,11.0,31%,0,2.0,843,23.42,4,61,16%,6.0,40.0,3,0,18,7,46,61%,9,25,8,3,155.0,87.0,153.0,15.0,10.0,48.0,0.0
Ryan Fraser,Scotland,24/02/1994,163,28,7,16,1,4,0.04,0,1,0,0.0,1.0,27.0,12.0,44%,0,5.0,770,27.5,5,174,16%,2.0,27.0,2,0,10,1,12,50%,10,15,17,11,97.0,66.0,81.0,12.0,6.0,25.0,0.0
Fred,Brazil,05/03/1993,169,29,13,7,0,0,0.0,0,0,0,0.0,0.0,40.0,10.0,25%,1,0.0,1668,57.52,3,63,22%,3.0,110.0,8,0,42,1,60,53%,10,38,27,7,234.0,145.0,172.0,40.0,9.0,19.0,0.0
Gabriel Martinelli,Brazil,18/06/2001,180,14,3,3,3,0,0.21,0,3,0,0.0,0.0,12.0,5.0,42%,0,1.0,116,8.29,0,22,0%,1.0,2.0,1,0,9,2,20,75%,2,3,5,4,34.0,46.0,92.0,9.0,8.0,37.0,0.0
James Garner,England,13/03/2001,186,1,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0%,0,0.0,14,14.0,0,0,0%,0.0,1.0,0,0,0,0,0,0%,0,0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Jean-Philippe Gbamin,Cote D'Ivoire,25/09/1995,186,2,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0%,0,0.0,70,35.0,0,0,0%,0.0,2.0,0,0,2,0,4,75%,0,1,4,3,8.0,11.0,10.0,2.0,3.0,2.0,0.0
Gedson Fernandes,Portugal,09/01/1999,182,7,3,1,0,0,0.0,0,0,0,0.0,0.0,1.0,0.0,0%,0,0.0,39,5.57,0,7,29%,0.0,0.0,0,0,0,0,2,0%,1,1,0,0,7.0,6.0,9.0,2.0,0.0,1.0,0.0
Morgan Gibbs-White,England,27/01/2000,171,7,3,3,0,0,0.0,0,0,0,0.0,0.0,2.0,0.0,0%,0,0.0,79,11.29,0,2,0%,1.0,2.0,0,0,2,0,0,0%,0,2,0,0,6.0,6.0,6.0,1.0,4.0,2.0,0.0
Kortney Hause,England,16/07/1995,191,18,3,11,1,0,0.06,0,1,0,0.0,0.0,20.0,3.0,15%,0,3.0,799,44.39,1,0,0%,1.0,62.0,3,0,24,1,21,43%,2,20,94,51,109.0,138.0,77.0,9.0,100.0,35.0,1.0
Jeff Hendrick,Ireland,31/01/1992,185,24,10,8,2,2,0.08,0,2,0,0.0,0.0,22.0,6.0,27%,0,2.0,545,22.71,2,30,23%,1.0,18.0,8,0,17,4,18,56%,8,20,15,7,107.0,81.0,108.0,22.0,26.0,17.0,0.0
Onel Hernández,Cuba,01/02/1993,172,26,1,19,1,2,0.04,0,1,0,0.0,0.0,29.0,8.0,28%,1,2.0,311,11.96,0,26,4%,0.0,2.0,0,0,14,8,27,70%,12,19,9,2,75.0,93.0,132.0,42.0,6.0,29.0,0.0
Dan Gosling,England,01/02/1990,183,24,5,16,3,1,0.13,0,3,0,0.0,0.0,13.0,6.0,46%,0,2.0,520,21.67,2,3,67%,1.0,17.0,3,0,21,2,26,38%,4,20,22,8,82.0,69.0,100.0,4.0,21.0,28.0,0.0
Demarai Gray,England,28/06/1996,180,21,11,6,2,3,0.1,0,2,0,0.0,0.0,23.0,8.0,35%,0,1.0,291,13.86,4,31,26%,1.0,10.0,1,0,2,3,12,50%,7,5,3,1,35.0,34.0,50.0,10.0,2.0,8.0,0.0
Jack Grealish,England,10/09/1995,175,36,9,19,8,5,0.22,0,5,3,0.0,0.0,73.0,23.0,32%,2,5.0,1371,38.08,8,141,20%,2.0,81.0,8,0,34,4,29,66%,18,22,10,4,188.0,289.0,182.0,73.0,22.0,27.0,1.0
Pascal Groß,Germany,15/06/1991,181,29,7,12,2,4,0.07,0,2,0,0.0,1.0,29.0,9.0,31%,1,0.0,899,31.0,10,146,32%,5.0,42.0,4,0,23,8,36,36%,9,9,7,2,83.0,73.0,104.0,6.0,18.0,29.0,0.0
Jóhann Gudmundsson,Iceland,27/10/1990,186,12,3,5,1,1,0.08,0,0,1,0.0,0.0,10.0,2.0,20%,1,1.0,160,13.33,1,35,46%,0.0,8.0,0,0,9,1,4,50%,2,7,6,5,31.0,20.0,36.0,5.0,7.0,14.0,0.0
Matteo Guendouzi,France,14/04/1999,185,24,7,7,0,1,0.0,0,0,0,0.0,0.0,11.0,5.0,45%,1,1.0,1152,48.0,1,6,17%,7.0,70.0,6,0,17,0,31,52%,5,29,34,16,117.0,116.0,102.0,24.0,13.0,16.0,0.0
Ilkay Gündogan,Germany,24/10/1990,180,31,20,8,2,1,0.06,0,2,0,1.0,0.0,33.0,8.0,24%,1,5.0,1953,63.0,3,30,30%,7.0,106.0,7,0,16,2,27,59%,14,31,13,6,137.0,70.0,80.0,18.0,11.0,15.0,0.0
Nathan Holland,England,19/06/1998,178,2,0,2,0,0,0.0,0,0,0,0.0,0.0,1.0,1.0,100%,0,0.0,11,5.5,0,2,0%,0.0,0.0,0,0,0,0,3,33%,0,0,0,0,1.0,7.0,2.0,3.0,0.0,1.0,0.0
Conor Hourihane,Ireland,02/02/1991,180,27,7,13,3,5,0.11,0,0,3,0.0,1.0,29.0,10.0,34%,1,1.0,612,22.67,8,112,25%,1.0,20.0,4,0,14,4,16,63%,13,9,26,9,72.0,53.0,48.0,4.0,13.0,9.0,0.0
Will Hughes,England,17/04/1995,185,30,6,17,1,1,0.03,0,1,0,0.0,0.0,27.0,3.0,11%,0,1.0,840,28.0,2,69,29%,1.0,11.0,9,0,53,1,75,63%,10,37,26,13,127.0,170.0,166.0,24.0,25.0,32.0,0.0
Pierre-Emile Højbjerg,Denmark,05/08/1995,185,33,12,15,0,1,0.0,0,0,0,0.0,0.0,46.0,11.0,24%,0,5.0,1823,55.24,0,27,33%,4.0,106.0,5,0,46,1,80,61%,10,46,49,23,326.0,210.0,178.0,40.0,55.0,43.0,0.0
Jordon Ibe,England,08/12/1995,176,2,0,2,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0%,0,0.0,17,8.5,0,3,33%,0.0,0.0,0,0,0,0,2,100%,0,0,1,0,6.0,5.0,2.0,1.0,0.0,0.0,0.0
João Moutinho,Portugal,08/09/1986,170,38,15,9,1,6,0.03,0,1,0,0.0,1.0,22.0,6.0,27%,0,0.0,1839,48.39,9,221,30%,5.0,152.0,7,0,40,3,93,54%,5,50,17,6,248.0,152.0,183.0,15.0,21.0,26.0,0.0
Curtis Jones,England,30/01/2001,185,6,5,0,1,0,0.17,0,1,0,0.0,0.0,6.0,2.0,33%,0,0.0,123,20.5,0,0,0%,0.0,3.0,0,0,3,0,4,100%,1,2,0,0,14.0,9.0,12.0,3.0,2.0,3.0,0.0
Jorginho,Italy,20/12/1991,180,31,15,10,4,2,0.13,0,4,0,3.0,0.0,12.0,4.0,33%,0,0.0,2257,72.81,6,10,10%,16.0,132.0,10,0,27,0,66,61%,4,64,26,7,247.0,123.0,151.0,13.0,14.0,39.0,0.0
Jota,Spain,16/06/1991,180,10,2,7,0,1,0.0,0,0,0,0.0,0.0,6.0,1.0,17%,0,0.0,93,9.3,1,2,0%,2.0,6.0,0,0,6,0,3,33%,4,3,5,1,26.0,13.0,25.0,7.0,1.0,2.0,0.0
N'Golo Kanté,France,29/03/1991,168,22,8,10,3,0,0.14,0,2,1,0.0,0.0,18.0,6.0,33%,0,1.0,1134,51.55,1,26,42%,0.0,40.0,4,0,45,0,44,45%,6,44,31,10,158.0,96.0,138.0,24.0,19.0,32.0,2.0
Naby Keita,Guinea,10/02/1995,172,18,13,2,2,3,0.11,0,2,0,0.0,0.0,12.0,7.0,58%,0,1.0,678,37.67,5,7,0%,5.0,15.0,1,0,9,1,30,47%,2,10,2,1,82.0,72.0,44.0,23.0,9.0,10.0,0.0
Ki Sung-Yueng,South Korea,24/01/1989,189,3,0,2,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0%,0,0.0,66,22.0,0,5,80%,0.0,3.0,0,0,1,0,1,100%,0,3,2,2,4.0,8.0,5.0,2.0,2.0,0.0,0.0
Cheikhou Kouyaté,Senegal,21/12/1989,189,35,11,15,1,1,0.03,0,1,0,0.0,0.0,24.0,4.0,17%,0,1.0,851,24.31,1,17,12%,1.0,23.0,4,0,33,2,67,48%,4,43,55,32,139.0,201.0,163.0,17.0,91.0,70.0,0.0
Mateo Kovacic,Croatia,06/05/1994,178,31,16,9,1,3,0.03,0,1,0,0.0,0.0,21.0,5.0,24%,0,0.0,1868,60.26,3,8,13%,10.0,93.0,8,0,20,0,63,60%,9,22,16,7,174.0,186.0,115.0,77.0,8.0,17.0,0.0
Adam Lallana,England,10/05/1988,172,15,13,1,1,1,0.07,0,1,0,0.0,0.0,5.0,1.0,20%,1,0.0,266,17.73,1,3,0%,1.0,4.0,1,0,7,1,19,47%,2,5,2,1,31.0,33.0,42.0,2.0,4.0,14.0,0.0
Erik Lamela,Argentina,04/03/1992,181,25,10,7,2,1,0.08,0,0,2,0.0,0.0,29.0,10.0,34%,0,1.0,541,21.64,0,49,14%,2.0,17.0,3,0,30,1,24,83%,10,8,9,5,74.0,86.0,123.0,30.0,6.0,18.0,0.0
